id,name,description,price,stock,image,category
47,"Speaker 47","Premium Electronics product. Speaker 47 designed for quality and style. This item belongs to our exclusive Electronics collection.",5264,76,https://images.unsplash.com/photo-1461749280684-dccba630e2f6?w=400&h=400&fit=crop&q=80,Electronics
48,"Smartwatch 48","Premium Electronics product. Smartwatch 48 designed for quality and style. This item belongs to our exclusive Electronics collection.",5625,15,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop&q=80,Electronics
49,"Gaming Console 49","Premium Electronics product. Gaming Console 49 designed for quality and style. This item belongs to our exclusive Electronics collection.",2492,56,https://images.unsplash.com/photo-1461749280684-dccba630e2f6?w=400&h=400&fit=crop&q=80,Electronics
50,"Monitor 50","Premium Electronics product. Monitor 50 designed for quality and style. This item belongs to our exclusive Electronics collection.",5703,51,https://images.unsplash.com/photo-1496181133206-80ce9b88a853?w=400&h=400&fit=crop&q=80,Electronics
51,"Hat 01","Premium Fashion product. Hat 01 designed for quality and style. This item belongs to our exclusive Fashion collection.",3545,41,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=400&h=400&fit=crop&q=80,Fashion
52,"Sunglasses 02","Premium Fashion product. Sunglasses 02 designed for quality and style. This item belongs to our exclusive Fashion collection.",6343,77,https://images.unsplash.com/photo-1479064560450-41718b41311b?w=400&h=400&fit=crop&q=80,Fashion
53,"Belt 03","Premium Fashion product. Belt 03 designed for quality and style. This item belongs to our exclusive Fashion collection.",4236,59,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=400&h=400&fit=crop&q=80,Fashion
54,"Jeans 04","Premium Fashion product. Jeans 04 designed for quality and style. This item belongs to our exclusive Fashion collection.",7384,82,https://images.unsplash.com/photo-1506152983158-b4a74a01c721?w=400&h=400&fit=crop&q=80,Fashion
55,"Watch 05","Premium Fashion product. Watch 05 designed for quality and style. This item belongs to our exclusive Fashion collection.",2740,67,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=400&h=400&fit=crop&q=80,Fashion
56,"Watch 06","Premium Fashion product. Watch 06 designed for quality and style. This item belongs to our exclusive Fashion collection.",7541,27,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400&h=400&fit=crop&q=80,Fashion
57,"Jacket 07","Premium Fashion product. Jacket 07 designed for quality and style. This item belongs to our exclusive Fashion collection.",7649,16,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400&h=400&fit=crop&q=80,Fashion
58,"Handbag 08","Premium Fashion product. Handbag 08 designed for quality and style. This item belongs to our exclusive Fashion collection.",968,58,https://images.unsplash.com/photo-1479064560450-41718b41311b?w=400&h=400&fit=crop&q=80,Fashion
59,"Watch 09","Premium Fashion product. Watch 09 designed for quality and style. This item belongs to our exclusive Fashion collection.",9629,52,https://images.unsplash.com/photo-1539106604-147b05ca11d5?w=400&h=400&fit=crop&q=80,Fashion
60,"T-Shirt 10","Premium Fashion product. T-Shirt 10 designed for quality and style. This item belongs to our exclusive Fashion collection.",9025,78,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=400&fit=crop&q=80,Fashion
61,"Sunglasses 11","Premium Fashion product. Sunglasses 11 designed for quality and style. This item belongs to our exclusive Fashion collection.",2015,93,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=400&fit=crop&q=80,Fashion
62,"Handbag 12","Premium Fashion product. Handbag 12 designed for quality and style. This item belongs to our exclusive Fashion collection.",2139,67,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=400&h=400&fit=crop&q=80,Fashion
63,"T-Shirt 13","Premium Fashion product. T-Shirt 13 designed for quality and style. This item belongs to our exclusive Fashion collection.",6796,87,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=400&fit=crop&q=80,Fashion
64,"Jeans 14","Premium Fashion product. Jeans 14 designed for quality and style. This item belongs to our exclusive Fashion collection.",9714,31,https://images.unsplash.com/photo-1506152983158-b4a74a01c721?w=400&h=400&fit=crop&q=80,Fashion
65,"Dress 15","Premium Fashion product. Dress 15 designed for quality and style. This item belongs to our exclusive Fashion collection.",7410,100,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=400&h=400&fit=crop&q=80,Fashion
66,"Hat 16","Premium Fashion product. Hat 16 designed for quality and style. This item belongs to our exclusive Fashion collection.",9723,89,https://images.unsplash.com/photo-1488161628813-244a26a28644?w=400&h=400&fit=crop&q=80,Fashion
67,"Sunglasses 17","Premium Fashion product. Sunglasses 17 designed for quality and style. This item belongs to our exclusive Fashion collection.",1970,82,https://images.unsplash.com/photo-1490481651871-ab68ff25517d?w=400&h=400&fit=crop&q=80,Fashion
68,"Hat 18","Premium Fashion product. Hat 18 designed for quality and style. This item belongs to our exclusive Fashion collection.",6671,15,https://images.unsplash.com/photo-1479064560450-41718b41311b?w=400&h=400&fit=crop&q=80,Fashion
69,"Handbag 19","Premium Fashion product. Handbag 19 designed for quality and style. This item belongs to our exclusive Fashion collection.",6469,33,https://images.unsplash.com/photo-1479064560450-41718b41311b?w=400&h=400&fit=crop&q=80,Fashion
70,"Sneakers 20","Premium Fashion product. Sneakers 20 designed for quality and style. This item belongs to our exclusive Fashion collection.",7979,76,https://images.unsplash.com/photo-1506152983158-b4a74a01c721?w=400&h=400&fit=crop&q=80,Fashion
71,"Jacket 21","Premium Fashion product. Jacket 21 designed for quality and style. This item belongs to our exclusive Fashion collection.",3125,41,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=400&h=400&fit=crop&q=80,Fashion
72,"Sneakers 22","Premium Fashion product. Sneakers 22 designed for quality and style. This item belongs to our exclusive Fashion collection.",8227,61,https://images.unsplash.com/photo-1488161628813-244a26a28644?w=400&h=400&fit=crop&q=80,Fashion
73,"Handbag 23","Premium Fashion product. Handbag 23 designed for quality and style. This item belongs to our exclusive Fashion collection.",1898,21,https://images.unsplash.com/photo-1506152983158-b4a74a01c721?w=400&h=400&fit=crop&q=80,Fashion
74,"T-Shirt 24","Premium Fashion product. T-Shirt 24 designed for quality and style. This item belongs to our exclusive Fashion collection.",9199,92,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=400&h=400&fit=crop&q=80,Fashion
75,"Sunglasses 25","Premium Fashion product. Sunglasses 25 designed for quality and style. This item belongs to our exclusive Fashion collection.",3904,53,https://images.unsplash.com/photo-1479064560450-41718b41311b?w=400&h=400&fit=crop&q=80,Fashion
76,"Dress 26","Premium Fashion product. Dress 26 designed for quality and style. This item belongs to our exclusive Fashion collection.",8826,62,https://images.unsplash.com/photo-1490481651871-ab68ff25517d?w=400&h=400&fit=crop&q=80,Fashion
77,"Hat 27","Premium Fashion product. Hat 27 designed for quality and style. This item belongs to our exclusive Fashion collection.",7001,18,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=400&fit=crop&q=80,Fashion
78,"Jacket 28","Premium Fashion product. Jacket 28 designed for quality and style. This item belongs to our exclusive Fashion collection.",2027,80,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=400&h=400&fit=crop&q=80,Fashion
79,"Jeans 29","Premium Fashion product. Jeans 29 designed for quality and style. This item belongs to our exclusive Fashion collection.",8322,97,https://images.unsplash.com/photo-1506152983158-b4a74a01c721?w=400&h=400&fit=crop&q=80,Fashion
80,"Sneakers 30","Premium Fashion product. Sneakers 30 designed for quality and style. This item belongs to our exclusive Fashion collection.",9029,11,https://images.unsplash.com/photo-1479064560450-41718b41311b?w=400&h=400&fit=crop&q=80,Fashion
81,"Handbag 31","Premium Fashion product. Handbag 31 designed for quality and style. This item belongs to our exclusive Fashion collection.",438,59,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=400&h=400&fit=crop&q=80,Fashion
82,"Jeans 32","Premium Fashion product. Jeans 32 designed for quality and style. This item belongs to our exclusive Fashion collection.",7876,94,https://images.unsplash.com/photo-1467043237213-65f2da53396f?w=400&h=400&fit=crop&q=80,Fashion
83,"Dress 33","Premium Fashion product. Dress 33 designed for quality and style. This item belongs to our exclusive Fashion collection.",3699,66,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=400&h=400&fit=crop&q=80,Fashion
84,"Sneakers 34","Premium Fashion product. Sneakers 34 designed for quality and style. This item belongs to our exclusive Fashion collection.",3358,84,https://images.unsplash.com/photo-1506152983158-b4a74a01c721?w=400&h=400&fit=crop&q=80,Fashion
85,"Sneakers 35","Premium Fashion product. Sneakers 35 designed for quality and style. This item belongs to our exclusive Fashion collection.",6964,24,https://images.unsplash.com/photo-1467043237213-65f2da53396f?w=400&h=400&fit=crop&q=80,Fashion
86,"Jacket 36","Premium Fashion product. Jacket 36 designed for quality and style. This item belongs to our exclusive Fashion collection.",1906,74,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=400&h=400&fit=crop&q=80,Fashion
87,"Jeans 37","Premium Fashion product. Jeans 37 designed for quality and style. This item belongs to our exclusive Fashion collection.",9475,25,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=400&fit=crop&q=80,Fashion
88,"Jeans 38","Premium Fashion product. Jeans 38 designed for quality and style. This item belongs to our exclusive Fashion collection.",1982,53,https://images.unsplash.com/photo-1488161628813-244a26a28644?w=400&h=400&fit=crop&q=80,Fashion
89,"Handbag 39","Premium Fashion product. Handbag 39 designed for quality and style. This item belongs to our exclusive Fashion collection.",2118,79,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=400&h=400&fit=crop&q=80,Fashion
90,"T-Shirt 40","Premium Fashion product. T-Shirt 40 designed for quality and style. This item belongs to our exclusive Fashion collection.",5427,47,https://images.unsplash.com/photo-1467043237213-65f2da53396f?w=400&h=400&fit=crop&q=80,Fashion
91,"Watch 41","Premium Fashion product. Watch 41 designed for quality and style. This item belongs to our exclusive Fashion collection.",1885,24,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=400&h=400&fit=crop&q=80,Fashion
92,"Dress 42","Premium Fashion product. Dress 42 designed for quality and style. This item belongs to our exclusive Fashion collection.",3534,70,https://images.unsplash.com/photo-1543163521-1bf539c55dd2?w=400&h=400&fit=crop&q=80,Fashion
93,"Sneakers 43","Premium Fashion product. Sneakers 43 designed for quality and style. This item belongs to our exclusive Fashion collection.",2977,49,https://images.unsplash.com/photo-1490481651871-ab68ff25517d?w=400&h=400&fit=crop&q=80,Fashion
94,"Jeans 44","Premium Fashion product. Jeans 44 designed for quality and style. This item belongs to our exclusive Fashion collection.",1178,57,https://images.unsplash.com/photo-1490481651871-ab68ff25517d?w=400&h=400&fit=crop&q=80,Fashion
95,"Sunglasses 45","Premium Fashion product. Sunglasses 45 designed for quality and style. This item belongs to our exclusive Fashion collection.",3235,61,https://images.unsplash.com/photo-1506152983158-b4a74a01c721?w=400&h=400&fit=crop&q=80,Fashion
96,"T-Shirt 46","Premium Fashion product. T-Shirt 46 designed for quality and style. This item belongs to our exclusive Fashion collection.",1962,38,https://images.unsplash.com/photo-1479064560450-41718b41311b?w=400&h=400&fit=crop&q=80,Fashion
97,"Handbag 47","Premium Fashion product. Handbag 47 designed for quality and style. This item belongs to our exclusive Fashion collection.",7640,89,https://images.unsplash.com/photo-1479064560450-41718b41311b?w=400&h=400&fit=crop&q=80,Fashion
98,"Sneakers 48","Premium Fashion product. Sneakers 48 designed for quality and style. This item belongs to our exclusive Fashion collection.",8636,84,https://images.unsplash.com/photo-1490481651871-ab68ff25517d?w=400&h=400&fit=crop&q=80,Fashion
99,"Belt 49","Premium Fashion product. Belt 49 designed for quality and style. This item belongs to our exclusive Fashion collection.",3911,25,https://images.unsplash.com/photo-1549298916-b41d501d3772?w=400&h=400&fit=crop&q=80,Fashion
100,"Jeans 50","Premium Fashion product. Jeans 50 designed for quality and style. This item belongs to our exclusive Fashion collection.",4899,20,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=400&h=400&fit=crop&q=80,Fashion
101,"Bedsheet 01","Premium Home & Living product. Bedsheet 01 designed for quality and style. This item belongs to our exclusive Home & Living collection.",8994,55,https://images.unsplash.com/photo-1533090161767-e6ffed986c88?w=400&h=400&fit=crop&q=80,"Home & Living"
102,"Bedsheet 02","Premium Home & Living product. Bedsheet 02 designed for quality and style. This item belongs to our exclusive Home & Living collection.",8587,56,https://images.unsplash.com/photo-1616489953149-8d769df8b7de?w=400&h=400&fit=crop&q=80,"Home & Living"
103,"Shelf 03","Premium Home & Living product. Shelf 03 designed for quality and style. This item belongs to our exclusive Home & Living collection.",8618,59,https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?w=400&h=400&fit=crop&q=80,"Home & Living"
104,"Dining Table 04","Premium Home & Living product. Dining Table 04 designed for quality and style. This item belongs to our exclusive Home & Living collection.",1645,22,https://images.unsplash.com/photo-1616489953149-8d769df8b7de?w=400&h=400&fit=crop&q=80,"Home & Living"
105,"Lamp 05","Premium Home & Living product. Lamp 05 designed for quality and style. This item belongs to our exclusive Home & Living collection.",6654,47,https://images.unsplash.com/photo-1493663284031-b747a1a440be?w=400&h=400&fit=crop&q=80,"Home & Living"
106,"Lamp 06","Premium Home & Living product. Lamp 06 designed for quality and style. This item belongs to our exclusive Home & Living collection.",9239,65,https://images.unsplash.com/photo-1554995207-c18c20360b59?w=400&h=400&fit=crop&q=80,"Home & Living"
107,"Sofa 07","Premium Home & Living product. Sofa 07 designed for quality and style. This item belongs to our exclusive Home & Living collection.",8395,50,https://images.unsplash.com/photo-1505691938895-1758d7eaa511?w=400&h=400&fit=crop&q=80,"Home & Living"
108,"Shelf 08","Premium Home & Living product. Shelf 08 designed for quality and style. This item belongs to our exclusive Home & Living collection.",5384,68,https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?w=400&h=400&fit=crop&q=80,"Home & Living"
109,"Vase 09","Premium Home & Living product. Vase 09 designed for quality and style. This item belongs to our exclusive Home & Living collection.",8199,84,https://images.unsplash.com/photo-1616489953149-8d769df8b7de?w=400&h=400&fit=crop&q=80,"Home & Living"
110,"Lamp 10","Premium Home & Living product. Lamp 10 designed for quality and style. This item belongs to our exclusive Home & Living collection.",9822,75,https://images.unsplash.com/photo-1493663284031-b747a1a440be?w=400&h=400&fit=crop&q=80,"Home & Living"
111,"Cushion 11","Premium Home & Living product. Cushion 11 designed for quality and style. This item belongs to our exclusive Home & Living collection.",9610,84,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&h=400&fit=crop&q=80,"Home & Living"
112,"Lamp 12","Premium Home & Living product. Lamp 12 designed for quality and style. This item belongs to our exclusive Home & Living collection.",3948,74,https://images.unsplash.com/photo-1554995207-c18c20360b59?w=400&h=400&fit=crop&q=80,"Home & Living"
113,"Lamp 13","Premium Home & Living product. Lamp 13 designed for quality and style. This item belongs to our exclusive Home & Living collection.",1955,90,https://images.unsplash.com/photo-1493663284031-b747a1a440be?w=400&h=400&fit=crop&q=80,"Home & Living"
114,"Sofa 14","Premium Home & Living product. Sofa 14 designed for quality and style. This item belongs to our exclusive Home & Living collection.",3020,56,https://images.unsplash.com/photo-1505691938895-1758d7eaa511?w=400&h=400&fit=crop&q=80,"Home & Living"
115,"Bedsheet 15","Premium Home & Living product. Bedsheet 15 designed for quality and style. This item belongs to our exclusive Home & Living collection.",8678,47,https://images.unsplash.com/photo-1493663284031-b747a1a440be?w=400&h=400&fit=crop&q=80,"Home & Living"
116,"Vase 16","Premium Home & Living product. Vase 16 designed for quality and style. This item belongs to our exclusive Home & Living collection.",6048,22,https://images.unsplash.com/photo-1484101403033-57121f21788c?w=400&h=400&fit=crop&q=80,"Home & Living"
117,"Shelf 17","Premium Home & Living product. Shelf 17 designed for quality and style. This item belongs to our exclusive Home & Living collection.",717,82,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=400&h=400&fit=crop&q=80,"Home & Living"
118,"Vase 18","Premium Home & Living product. Vase 18 designed for quality and style. This item belongs to our exclusive Home & Living collection.",5622,20,https://images.unsplash.com/photo-1513694203232-719a280e022f?w=400&h=400&fit=crop&q=80,"Home & Living"
119,"Wall Clock 19","Premium Home & Living product. Wall Clock 19 designed for quality and style. This item belongs to our exclusive Home & Living collection.",1606,17,https://images.unsplash.com/photo-1556911220-e15b29be8c8f?w=400&h=400&fit=crop&q=80,"Home & Living"
120,"Curtain 20","Premium Home & Living product. Curtain 20 designed for quality and style. This item belongs to our exclusive Home & Living collection.",749,58,https://images.unsplash.com/photo-1513694203232-719a280e022f?w=400&h=400&fit=crop&q=80,"Home & Living"
121,"Sofa 21","Premium Home & Living product. Sofa 21 designed for quality and style. This item belongs to our exclusive Home & Living collection.",1248,20,https://images.unsplash.com/photo-1616489953149-8d769df8b7de?w=400&h=400&fit=crop&q=80,"Home & Living"
122,"Lamp 22","Premium Home & Living product. Lamp 22 designed for quality and style. This item belongs to our exclusive Home & Living collection.",8007,27,https://images.unsplash.com/photo-1484101403033-57121f21788c?w=400&h=400&fit=crop&q=80,"Home & Living"
123,"Wall Clock 23","Premium Home & Living product. Wall Clock 23 designed for quality and style. This item belongs to our exclusive Home & Living collection.",2727,78,https://images.unsplash.com/photo-1556911220-e15b29be8c8f?w=400&h=400&fit=crop&q=80,"Home & Living"
124,"Shelf 24","Premium Home & Living product. Shelf 24 designed for quality and style. This item belongs to our exclusive Home & Living collection.",6517,23,https://images.unsplash.com/photo-1616489953149-8d769df8b7de?w=400&h=400&fit=crop&q=80,"Home & Living"
125,"Rugs 25","Premium Home & Living product. Rugs 25 designed for quality and style. This item belongs to our exclusive Home & Living collection.",346,46,https://images.unsplash.com/photo-1616489953149-8d769df8b7de?w=400&h=400&fit=crop&q=80,"Home & Living"
